extremum_id,corrected_wavenumber,assigned_order,predicted_order,order_residual
1,3689.0744128329275,0.0,-0.01835726561692752,0.01835726561692752
2,4365.230243138078,1.0,0.9943979820652498,0.005602017934750236
3,5031.063083667577,2.0,1.9916913175690745,0.00830868243092553
4,5705.928540250772,3.0,3.0025138262289586,-0.002513826228958571
5,6384.665117999835,4.0,4.019134551955726,-0.019134551955725776
6,7055.659453417161,5.0,5.024158843548727,-0.02415884354872677
7,7722.782667668617,6.0,6.0233849180748456,-0.02338491807484555
8,8379.582892144423,7.0,7.007149080422612,-0.007149080422611753
9,9028.640874288489,8.0,7.97931680863661,0.02068319136339003
10,9694.473714817988,9.0,8.976610144140434,0.02338985585956621
